iter,time,reward,steps,convergence,policy,Value,,,,,Policy,,,
68,0.136,93,9,2.238948923,,103.3616,93,9,0,,53.2715,93,9,0
69,0.2057,92,10,2.284672811,,84.8792,93,9,0,,48.2546,93,9,0
70,0.3022,91,11,2.230919831,,67.8025,87,15,0,,47.4064,93,9,0
71,0.2365,90,12,2.215449634,,85.6974,90,12,0,,48.1927,90,12,0
72,0.2126,89,13,2.534983736,,121.7289,91,11,0,,52.3839,88,14,0
73,0.3966,84,18,3.013410154,,57.8093,92,10,0,,49.7171,93,9,0
74,0.1089,91,11,3.050824615,,64.2198,89,13,0,,50.6912,93,9,0
75,0.1925,90,12,2.720516658,,93.8186,93,9,0,,50.83,93,9,0
76,0.2086,93,9,3.174298533,,117.0968,92,10,0,,54.3768,89,13,0
77,0.1326,93,9,3.115135183,,137.7923,89,13,0,,47.5225,90,12,0
78,0.4255,92,10,3.51590678,,126.5836,87,15,0,,35.8982,93,9,0
79,0.3044,93,9,3.529157189,,103.7912,89,13,0,,42.8869,93,9,0
80,0.2821,92,10,3.503915572,,120.979,91,11,0,,62.7352,88,14,0
81,0.2364,92,10,3.523712141,,84.2345,89,13,0,,76.509,87,15,0
82,0.1454,90,12,3.771104751,,84.0199,91,11,0,,98.461,92,10,0
83,0.195,93,9,3.242583621,,85.1085,91,11,0,,94.7519,91,11,0
84,0.4047,90,12,3.171060088,,93.048,88,14,0,,56.0473,91,11,0
85,0.2561,93,9,3.09551634,,85.2733,93,9,0,,45.3355,89,13,0
86,0.1447,93,9,2.534024876,,88.1486,93,9,0,,51.5884,89,13,0
87,0.1651,93,9,3.233770852,,88.7359,88,14,0,,40.4328,89,13,0
88,0.2889,88,14,2.876776864,,62.7272,91,11,0,,41.7958,92,10,0
89,0.3204,88,14,2.803756359,,87.2893,93,9,0,,38.9806,87,15,0
90,0.326,90,12,2.808608516,,100.6872,91,11,0,,41.4801,91,11,0
91,0.3525,86,16,2.723997999,,73.9682,90,12,0,,59.3897,91,11,0
92,0.3013,90,12,2.203908471,,94.2639,85,17,0,,68.3039,92,10,0
93,0.3356,91,11,2.132679223,,74.8494,91,11,0,,82.1908,92,10,0
94,0.4489,87,15,2.203226983,,80.055,88,14,0,,71.3203,85,17,0
95,0.4725,91,11,2.361976691,,100.1363,90,12,0,,63.6357,90,12,0
96,0.117,86,16,2.375489846,,114.9766,91,11,0,,68.6432,89,13,0
97,0.2432,90,12,1.748164971,,145.7711,93,9,0,,94.5138,91,11,0
98,0.1591,93,9,1.736157646,,128.8255,92,10,0,,107.2917,92,10,0
99,0.1367,93,9,2.283736378,,133.8618,92,10,0,,72.5555,92,10,0
