iter,time,reward,steps,convergence,policy
1,1.3567999999999358,-26.0,128.0,79.75333333333333,False
2,1.6919999999984725,87.0,15.0,44.519688888888886,False
3,4.0484000000020615,81.0,21.0,17.417720797263495,False
4,6.619500000002887,88.0,14.0,9.740198431786418,False
5,4.674200000000184,91.0,11.0,4.590677014105079,True
6,6.147600000002029,93.0,9.0,1.8656463213062757,True
7,14.874800000001187,88.0,14.0,0.9716368592450446,True
8,5.873000000001127,92.0,10.0,0.3713344508422267,True
9,6.01130000000083,91.0,11.0,0.12288147781053782,True
10,6.073600000000567,91.0,11.0,0.03736995893375061,True
11,7.360699999999554,90.0,12.0,0.010755717506321538,True
12,6.888800000002249,90.0,12.0,0.002980657200509995,True
13,9.190700000001328,90.0,12.0,0.0008040778495361778,True
14,8.1836000000024,92.0,10.0,0.00021270049596333607,True
15,9.476199999998158,93.0,9.0,5.5450070731044576e-05,True
16,9.515900000000244,84.0,18.0,1.4296557014681355e-05,True
17,11.639499999997582,91.0,11.0,3.6547369268724594e-06,True
18,13.863499999999362,93.0,9.0,9.280668549216387e-07,True
19,13.485400000000425,90.0,12.0,2.3442155105968254e-07,True
20,14.235300000002837,92.0,10.0,5.896052224230175e-08,True
21,14.615599999999063,79.0,23.0,1.4778006374172037e-08,True
22,20.537499999999653,82.0,20.0,3.6934282299228016e-09,True
23,19.226199999998528,92.0,10.0,9.20904241752396e-10,True
24,17.68780000000092,91.0,11.0,2.2916024633445886e-10,True
25,17.322300000000013,89.0,13.0,5.693001625672878e-11,True
26,18.119299999998617,92.0,10.0,1.4123813230071391e-11,True
27,19.640700000000066,91.0,11.0,3.4994229736184934e-12,True
28,20.33789999999769,92.0,10.0,8.65085780787922e-13,True
29,20.06899999999945,88.0,14.0,2.1360690993788012e-13,True
30,20.78409999999664,91.0,11.0,5.3290705182007514e-14,True
31,25.161799999999346,93.0,9.0,1.2878587085651816e-14,True
32,22.10709999999949,93.0,9.0,2.7755575615628914e-15,True
33,22.932699999998363,91.0,11.0,4.440892098500626e-16,True
34,23.567299999999847,92.0,10.0,0.0,True
35,24.121099999998563,93.0,9.0,0.0,True
36,23.170000000000357,92.0,10.0,0.0,True
37,25.44639999999987,91.0,11.0,0.0,True
38,30.187600000001424,93.0,9.0,0.0,True
39,26.79679999999962,86.0,16.0,0.0,True
40,27.566300000000155,88.0,14.0,0.0,True
41,28.485400000000993,88.0,14.0,0.0,True
42,28.931299999999993,92.0,10.0,0.0,True
43,28.44360000000279,90.0,12.0,0.0,True
44,24.729499999999405,93.0,9.0,0.0,True
45,29.418299999999675,91.0,11.0,0.0,True
46,25.337500000002677,90.0,12.0,0.0,True
47,27.35889999999941,89.0,13.0,0.0,True
48,21.466900000000066,90.0,12.0,0.0,True
49,35.48550000000006,90.0,12.0,0.0,True
50,34.68660000000057,90.0,12.0,0.0,True
51,35.113299999999015,89.0,13.0,0.0,True
52,35.82250000000187,88.0,14.0,0.0,True
53,33.941200000001004,91.0,11.0,0.0,True
54,31.382499999999425,91.0,11.0,0.0,True
55,28.21580000000523,92.0,10.0,0.0,True
56,37.69979999999862,92.0,10.0,0.0,True
57,39.47159999999883,92.0,10.0,0.0,True
58,43.39859999999618,85.0,17.0,0.0,True
59,40.418600000002414,86.0,16.0,0.0,True
60,40.279499999996915,92.0,10.0,0.0,True
61,28.40460000000178,86.0,16.0,0.0,True
62,28.53659999999536,88.0,14.0,0.0,True
63,38.90439999999984,93.0,9.0,0.0,True
64,43.96530000000354,92.0,10.0,0.0,True
65,44.897299999995255,91.0,11.0,0.0,True
66,48.97230000000263,90.0,12.0,0.0,True
67,45.25780000000168,93.0,9.0,0.0,True
68,46.213000000001614,92.0,10.0,0.0,True
69,46.74539999999894,93.0,9.0,0.0,True
70,51.79210000000012,88.0,14.0,0.0,True
71,45.462100000001726,91.0,11.0,0.0,True
72,43.68610000000217,92.0,10.0,0.0,True
73,52.42799999999903,93.0,9.0,0.0,True
74,41.53599999999358,92.0,10.0,0.0,True
75,36.941300000002286,92.0,10.0,0.0,True
76,37.20690000000104,93.0,9.0,0.0,True
77,52.27589999999793,91.0,11.0,0.0,True
78,52.9547000000008,86.0,16.0,0.0,True
79,52.05839999999995,88.0,14.0,0.0,True
80,54.3127000000041,90.0,12.0,0.0,True
81,41.4299999999983,92.0,10.0,0.0,True
82,41.12450000000223,89.0,13.0,0.0,True
83,67.3929999999956,92.0,10.0,0.0,True
84,63.48530000000352,90.0,12.0,0.0,True
85,57.94510000000486,93.0,9.0,0.0,True
86,62.0752999999965,93.0,9.0,0.0,True
87,45.53080000000165,86.0,16.0,0.0,True
88,49.85110000000503,82.0,20.0,0.0,True
89,63.714700000005564,92.0,10.0,0.0,True
90,62.146699999999555,93.0,9.0,0.0,True
91,55.60269999999434,92.0,10.0,0.0,True
92,57.552799999996296,91.0,11.0,0.0,True
93,65.70690000000212,91.0,11.0,0.0,True
94,67.67380000000145,89.0,13.0,0.0,True
95,64.12360000000206,93.0,9.0,0.0,True
96,55.125300000000266,90.0,12.0,0.0,True
97,66.33379999999534,93.0,9.0,0.0,True
98,66.43400000000099,89.0,13.0,0.0,True
99,66.9462999999979,90.0,12.0,0.0,True
100,77.38949999999534,93.0,9.0,0.0,True
