iter,time,reward,steps,convergence,,,
50,0.1751,92,10,3.282160473,2.72108489,3.158532714,2.034354035
51,0.1523,91,11,3.457594171,2.845247129,3.226061771,2.633107319
52,0.1365,89,13,3.502030633,2.199994453,3.190844262,3.127329636
53,0.0884,88,14,3.538024167,2.563687463,2.708181125,3.210909703
54,0.085,92,10,2.962403003,2.665379628,2.699136209,2.894583702
55,0.0852,89,13,2.903490804,2.910299425,2.44759652,2.83216285
56,0.1199,93,9,2.367036638,3.053769187,2.948930037,3.502954285
57,0.1547,91,11,2.310154492,3.247341597,3.23945113,4.000754969
58,0.0891,85,17,2.405259452,3.421556766,3.473485967,4.090630236
59,0.2041,87,15,2.439985326,3.372834577,2.919365822,4.092913064
60,0.1052,93,9,2.464951021,2.839880943,2.969025539,4.28669122
61,0.111,87,15,2.327808695,2.867678655,2.983088748,3.762297686
62,0.0888,92,10,2.216723411,2.821195054,2.949742368,3.254143859
63,0.0964,92,10,2.126744331,2.852468675,3.111245026,3.066612413
64,0.0987,88,14,2.116630654,2.709233911,3.180795342,3.122812524
65,0.104,91,11,2.061137495,2.576430553,3.405688116,3.475424369
66,0.1136,92,10,2.349564178,2.564815231,3.011468356,2.836527823
67,0.12,92,10,2.638870725,2.372525314,2.623323527,2.289470503
68,0.1393,91,11,2.60750324,2.340156407,2.238948923,2.349582097
69,0.1659,91,11,2.555543262,2.342459616,2.284672811,2.434017649
70,0.1003,93,9,2.115501534,2.177336707,2.230919831,2.338320873
71,3.5089,91,11,2.120300644,2.740968711,2.215449634,2.217029014
72,0.0958,93,9,2.124187923,2.79404952,2.534983736,2.656171954
73,0.093,92,10,2.114171795,2.350766686,3.013410154,3.254454465
74,0.1455,88,14,2.045766176,2.283190952,3.050824615,3.835000977
75,0.1008,90,12,2.071539073,2.879995563,2.720516658,4.021071228
76,0.1046,93,9,1.9011028,2.762855336,3.174298533,3.952036778
77,0.1348,92,10,1.506370427,2.75860494,3.115135183,4.082920178
78,0.1214,72,30,1.395002378,2.618169485,3.51590678,3.895431974
79,0.1099,92,10,1.789857023,2.486714349,3.529157189,3.92399231
80,0.2201,92,10,1.799723924,2.706468824,3.503915572,3.934749898
81,0.1813,92,10,1.969858473,2.70991281,3.523712141,4.56540083
82,0.1151,86,16,1.968610322,3.291634746,3.771104751,4.542229374
83,0.1068,89,13,2.111606019,3.338946037,3.242583621,3.990678106
84,0.2405,93,9,2.125503604,3.410198497,3.171060088,3.441385496
85,0.1085,93,9,2.183897114,3.262640914,3.09551634,2.981923658
86,0.0859,85,17,1.906069407,3.634768704,2.534024876,3.580173487
87,0.1339,91,11,1.871923141,3.798704446,3.233770852,3.549808515
88,0.1466,93,9,2.620962405,3.942164694,2.876776864,3.554284458
89,0.1043,92,10,2.591051497,3.97176052,2.803756359,3.926148188
90,0.1182,90,12,3.227049904,3.758053659,2.808608516,3.800066877
91,0.1483,93,9,3.167876279,3.118802989,2.723997999,3.164909772
92,0.1408,93,9,3.259002779,2.513198148,2.203908471,2.770042716
93,0.132,93,9,3.201973368,2.568166386,2.132679223,2.781165481
94,0.1146,91,11,3.209053286,2.712428815,2.203226983,2.758299566
95,0.1795,90,12,3.306374291,2.201916588,2.361976691,2.724200753
96,0.1806,89,13,3.362946871,1.812741698,2.375489846,2.14520275
97,0.1209,93,9,3.415100577,1.634997805,1.748164971,2.165298331
98,0.1188,92,10,2.652618402,1.46672289,1.736157646,2.427029891
99,0.1358,92,10,2.897585309,2.168757821,2.283736378,2.126394236
100,0.2869,91,11,2.896540877,2.351448045,2.971754802,2.219119449
101,0.2917,89,13,3.476027326,2.365953674,3.577246003,2.363946968
102,0.1222,91,11,3.448583238,2.310856626,3.548036367,2.362185358
103,0.1389,93,9,3.458165378,2.291468983,3.639242124,2.48570616
104,0.2275,91,11,3.453047207,2.105640897,3.592697383,2.934708242
105,0.1746,89,13,3.370679005,2.125116008,3.537880754,3.554358964
106,0.1604,87,15,3.383605587,2.168166172,3.714638813,3.539515503
107,0.1417,93,9,3.535103495,2.273547252,3.655230814,3.484564163
108,0.1214,90,12,3.648491175,2.30948748,4.282289265,3.249096069
109,0.0791,92,10,2.993817484,2.221384253,4.129983016,3.085559252
110,0.1256,91,11,2.401749639,2.004579146,3.446388953,3.067631933
111,0.0919,93,9,1.695007871,1.919512354,2.858435623,3.053318537
112,0.1052,93,9,1.641962515,1.890460234,2.755212717,2.929546199
113,0.1385,93,9,1.578320823,1.809713194,2.712428239,2.90804494
114,0.1842,93,9,1.961827698,2.215278421,2.677772812,3.024293572
115,0.1052,92,10,2.013114999,2.875642025,2.642866353,2.471990154
116,0.1888,91,11,2.089357407,2.875562941,2.465943546,2.448686755
117,0.155,90,12,2.003756464,3.219236904,2.520162071,2.528060961
118,0.1485,91,11,1.988469235,3.649919956,1.85740668,2.701838435
119,0.1672,85,17,2.619947025,3.448559749,1.413929604,3.154473136
120,0.2296,93,9,3.188158877,3.515241267,1.371772788,3.117536403
121,0.1183,84,18,3.2824122,3.531526779,1.325110141,2.998494826
