iter,time,reward,steps,convergence,policy,,reward,convergence,,reward,convergence,,reward,convergence
76,46.6371,91,11,0,TRUE,,89,0,,93,0,,89,0
77,39.5181,88,14,0,TRUE,,90,0,,91,0,,87,0
78,35.4514,91,11,0,TRUE,,93,0,,86,0,,90,0
79,41.0912,92,10,0,TRUE,,93,0,,88,0,,90,0
80,41.7622,92,10,0,TRUE,,88,0,,90,0,,87,0
81,37.7512,86,16,0,TRUE,,87,0,,92,0,,93,0
82,41.5887,93,9,0,TRUE,,92,0,,89,0,,93,0
83,35.8595,92,10,0,TRUE,,91,0,,92,0,,88,0
84,41.2487,93,9,0,TRUE,,91,0,,90,0,,90,0
85,55.4116,90,12,0,TRUE,,89,0,,93,0,,91,0
86,59.7039,81,21,0,TRUE,,89,0,,93,0,,90,0
87,59.9444,93,9,0,TRUE,,89,0,,86,0,,92,0
88,76.5744,80,22,0,TRUE,,92,0,,82,0,,90,0
89,98.7242,82,20,0,TRUE,,87,0,,92,0,,93,0
90,63.1064,92,10,0,TRUE,,91,0,,93,0,,89,0
91,64.6625,90,12,0,TRUE,,91,0,,92,0,,88,0
92,60.0564,92,10,0,TRUE,,92,0,,91,0,,90,0
93,65.5413,90,12,0,TRUE,,92,0,,91,0,,91,0
94,64.2198,91,11,0,TRUE,,85,0,,89,0,,92,0
95,64.201,90,12,0,TRUE,,90,0,,93,0,,92,0
96,67.9721,84,18,0,TRUE,,89,0,,90,0,,90,0
97,72.8798,89,13,0,TRUE,,91,0,,93,0,,90,0
98,66.665,92,10,0,TRUE,,92,0,,89,0,,92,0
99,65.7582,93,9,0,TRUE,,92,0,,90,0,,89,0
100,69.8436,92,10,0,TRUE,,90,0,,93,0,,91,0
