iter,reward,steps,convergence,policy,reward,convergence,,reward,convergence
103,86,16,0.53530333,,90,3.639242124,,61,32.54741521
104,-595,697,0.531196679,,92,3.592697383,,92,33.76412467
105,-151,253,0.484517194,,92,3.537880754,,64,34.03999845
106,-27,129,0.48067179,,92,3.714638813,,93,28.61239495
107,42,60,0.477616173,,91,3.655230814,,93,23.68697413
108,-63,165,0.528553768,,89,4.282289265,,93,23.92494857
109,-675,777,0.526184667,,89,4.129983016,,87,26.63068268
110,91,11,0.469984303,,86,3.446388953,,81,26.4617367
111,-89,191,0.467520946,,92,2.858435623,,29,26.91685548
112,-933,1035,0.465121369,,90,2.755212717,,85,21.85885092
113,-24,126,0.468897396,,91,2.712428239,,90,19.9873354
114,-15,117,0.472199524,,92,2.677772812,,82,25.56005198
115,46,56,0.463530493,,93,2.642866353,,0,29.24434657
116,52,50,0.460579209,,93,2.465943546,,-3,35.82227139
117,78,24,0.457686655,,93,2.520162071,,44,37.57306328
118,88,14,0.405561476,,91,1.85740668,,40,37.83253686
119,-17,119,0.402149082,,87,1.413929604,,6,37.84685491
120,71,31,0.398413964,,89,1.371772788,,90,43.26937057
121,-30,132,0.394716198,,93,1.325110141,,76,47.14256686
122,-42,144,0.39667501,,92,1.75465874,,85,53.8029514
123,71,31,0.392064206,,92,1.779174016,,47,51.42215876
124,87,15,0.382822313,,90,1.799031389,,75,45.43308328
125,91,11,0.384332455,,92,2.32147802,,90,44.69027007
126,-90,192,0.399232764,,90,2.910820203,,93,36.90476686
127,56,46,0.390265364,,88,2.949460071,,93,37.34717037
128,-98,200,0.387660788,,92,3.309298016,,40,40.92169099
129,62,40,0.389307322,,93,3.321995103,,69,45.64379847
130,-689,791,0.386252075,,93,3.282343756,,78,45.38560939
131,88,14,0.38322738,,93,3.871470202,,92,38.83474871
132,91,11,0.374613331,,93,3.422415758,,93,33.62782864
133,73,29,0.366483843,,91,3.64471087,,93,34.7153737
134,-669,771,0.36933748,,91,4.038746217,,41,41.01183708
135,84,18,0.361369769,,90,3.744840055,,90,43.09599613
136,-219,321,0.339780871,,93,3.417995597,,92,49.79480736
137,-666,768,0.342549753,,93,3.489352015,,90,48.65354013
138,85,17,0.334505398,,86,3.259537141,,93,49.6535618
139,80,22,0.331800099,,85,3.387016333,,81,42.66208051
140,88,14,0.329635991,,88,3.372445107,,89,37.15324094
141,85,17,0.332374429,,91,2.894869033,,74,37.52463544
142,64,38,0.391154339,,91,2.954375211,,92,43.44014317
143,72,30,0.394181695,,93,2.597220101,,91,44.73466572
144,78,24,0.391851794,,91,2.21955075,,88,37.62200249
145,-2278,2380,0.390375112,,93,2.112007714,,47,31.31170347
146,85,17,0.382950671,,90,1.987888998,,90,29.1144672
147,89,13,0.375600475,,91,1.945486335,,93,27.59347345
148,70,32,0.379708099,,81,2.262999207,,92,22.37510299
149,91,11,0.435609969,,90,2.13225486,,61,27.16688137
150,91,11,0.439334767,,91,2.152305422,,27,26.25075088
151,3,99,0.431876039,,89,2.1573106,,93,30.70339109
152,89,13,0.374625761,,90,2.663562103,,90,29.94435529
153,91,11,0.37311274,,92,2.746727259,,81,34.18709669
154,68,34,0.371153338,,87,2.715714104,,90,38.50130317
155,-683,785,0.374114221,,86,2.533644041,,90,37.95324675
156,58,44,0.377334716,,93,2.903239409,,73,33.23453044
157,-35,137,0.39125651,,92,2.850302298,,89,38.37425615
158,67,35,0.384219782,,87,2.411284059,,89,38.7682042
159,-1478,1580,0.360584015,,91,3.136175434,,25,34.43348768
160,66,36,0.358076478,,93,3.242207013,,88,34.4203073
161,30,72,0.420178105,,93,3.121979414,,92,34.4232416
162,85,17,0.415938171,,93,2.620492985,,88,29.62466738
163,14,88,0.472614947,,91,2.622513541,,75,27.49978955
164,-56,158,0.46889322,,93,2.609343237,,81,27.40204517
165,-3,105,0.528061733,,90,2.57679453,,86,32.19914171
166,92,10,0.527330417,,90,2.527519481,,73,36.42378319
167,74,28,0.512985724,,89,2.435302714,,88,32.80090312
168,28,74,0.516425821,,92,2.525271545,,52,32.19604453
169,-56,158,0.476541308,,85,1.968630548,,90,34.1181503
170,78,24,0.475829931,,93,2.424348988,,21,34.27739343
171,86,16,0.476966489,,87,2.440386687,,86,30.68279289
172,81,21,0.474869764,,90,2.585072696,,90,29.36190447
173,82,20,0.430590879,,93,2.541807,,72,24.21823904
174,89,13,0.428468789,,91,2.506620685,,39,24.52833854
175,84,18,0.400286407,,90,2.857663723,,13,27.27386723
176,84,18,0.395290198,,81,2.554379987,,40,25.28317931
177,90,12,0.456974442,,93,2.678820932,,90,24.27212768
178,93,9,0.468521762,,89,2.653553432,,86,25.20096586
179,93,9,0.508762182,,90,2.570036133,,89,25.20136425
180,75,27,0.509668439,,92,2.069048189,,21,29.32208044
181,87,15,0.444702096,,92,2.019734976,,90,27.94405369
182,47,55,0.443125159,,86,1.909704175,,-80,28.91793953
183,69,33,0.422892807,,85,1.86625048,,-54,31.84801534
184,87,15,0.442390132,,89,1.995951539,,35,26.89800051
185,85,17,0.403932834,,88,1.655515921,,33,26.90716026
186,90,12,0.446547017,,88,1.649676874,,92,24.77994213
187,54,48,0.386914931,,90,1.519769891,,52,26.98226601
188,85,17,0.408009701,,93,1.361831403,,55,28.62780286
189,58,44,0.370545495,,91,1.267733062,,77,33.01975388
190,44,58,0.368867607,,93,1.201988256,,92,28.93914629
191,63,39,0.372615055,,91,1.238091963,,85,31.29469445
192,88,14,0.391168588,,88,1.059976923,,92,30.37263672
193,82,20,0.390093239,,88,1.237152095,,93,34.60656244
194,89,13,0.372465242,,92,1.136696496,,90,38.81017481
195,88,14,0.375719263,,92,1.64048284,,79,31.58881412
196,87,15,0.334657628,,92,1.64969539,,91,36.24893181
197,81,21,0.370589094,,89,1.615289786,,81,38.87818248
198,80,22,0.330690198,,89,1.680632768,,76,41.5102565
199,84,18,0.323976149,,88,1.706865842,,92,36.80873218
200,88,14,0.338312804,,92,1.699999953,,93,37.79986451
201,54,48,0.332259766,,91,2.432781369,,-180,35.80483272
202,81,21,0.311489464,,90,2.706649821,,45,35.92833812
203,64,38,0.315570263,,92,2.535873514,,34,33.65084776
204,85,17,0.31476403,,90,2.496482047,,-15,29.73876783
205,60,42,0.309312951,,90,1.961984626,,-13,36.36742523
206,87,15,0.304165111,,85,1.890671533,,91,31.5905525
207,91,11,0.308559592,,90,1.936218116,,91,26.17588401
208,92,10,0.332225914,,92,1.960546573,,86,22.66226791
209,79,23,0.331814779,,89,2.021001512,,91,27.749092
210,83,19,0.313732649,,88,2.589759837,,68,28.02501371
211,20,82,0.313325625,,93,1.961328867,,91,27.89045686
212,88,14,0.316507317,,89,2.405219229,,75,32.3630482
213,87,15,0.373662732,,86,2.589050786,,-79,34.83816392
214,80,22,0.372088921,,86,3.385037939,,89,36.84277899
215,71,31,0.37191734,,89,3.506079428,,70,36.64080465
216,60,42,0.371498746,,91,3.454165588,,92,41.4243028
217,93,9,0.326312341,,87,3.610834834,,41,44.23325692
218,92,10,0.303843414,,92,3.524343917,,82,43.40469863
219,91,11,0.305193814,,93,3.453118409,,47,43.09799001
220,92,10,0.303222253,,90,3.656738842,,86,41.19145157
221,87,15,0.304541075,,93,3.627956323,,93,41.43661048
222,79,23,0.300254085,,92,2.988179662,,24,36.20737767
