iter,time,reward,steps,convergence,policy
1,2.837400000000656,-1228.0,1330.0,79.74,False
2,5.040699999998566,74.0,28.0,57.2292,False
3,6.932700000000125,91.0,11.0,40.554655226208,False
4,8.860500000000826,92.0,10.0,29.25869815579968,False
5,8.327500000000043,89.0,13.0,19.19127345548118,True
6,8.68069999999932,89.0,13.0,12.130215587342187,True
7,15.948999999999103,92.0,10.0,8.528871798695647,True
8,10.749300000000517,91.0,11.0,4.568912449632812,True
9,11.889599999999945,90.0,12.0,2.1391620500529527,True
10,13.1705999999987,93.0,9.0,0.9260519182663884,True
11,14.34330000000017,88.0,14.0,0.3811614442384794,True
12,15.44150000000144,91.0,11.0,0.1515989903504078,True
13,16.499599999999504,91.0,11.0,0.058857962397631525,True
14,17.248899999998457,92.0,10.0,0.022455797884447293,True
15,20.25989999999922,89.0,13.0,0.00845723139768495,True
16,20.253800000002542,90.0,12.0,0.0031540726977610234,True
17,20.835900000001573,89.0,13.0,0.0011674404619768097,True
18,21.733299999997513,90.0,12.0,0.000429565104376195,True
19,15.789199999996839,91.0,11.0,0.000157319992247551,True
20,16.60590000000184,91.0,11.0,5.7398515608042544e-05,True
21,10.275500000002324,92.0,10.0,2.08779681543092e-05,True
22,10.003399999998663,92.0,10.0,7.575096766743172e-06,True
23,10.31109999999913,88.0,14.0,2.742785454756813e-06,True
24,11.642300000001882,93.0,9.0,9.914080507655854e-07,True
25,11.492700000001577,91.0,11.0,3.5784420759910063e-07,True
26,11.386000000001673,93.0,9.0,1.2900827073281107e-07,True
27,15.77750000000222,89.0,13.0,4.6462908187550056e-08,True
28,19.19380000000004,88.0,14.0,1.6719724271752057e-08,True
29,20.69399999999888,92.0,10.0,6.012335518335021e-09,True
30,24.45860000000266,89.0,13.0,2.1606894051728887e-09,True
31,24.285000000002555,91.0,11.0,7.761187248433998e-10,True
32,22.245299999998025,90.0,12.0,2.786535446830385e-10,True
33,22.704600000000852,90.0,12.0,1.000231009129493e-10,True
34,23.730700000001548,86.0,16.0,3.588240815588506e-11,True
35,24.082599999999843,91.0,11.0,1.2846612662542611e-11,True
36,22.145600000001764,90.0,12.0,4.632738637155853e-12,True
37,22.272700000002033,92.0,10.0,1.6484591469634324e-12,True
38,22.593199999999314,89.0,13.0,5.968558980384842e-13,True
39,24.45340000000229,88.0,14.0,2.0605739337042905e-13,True
40,24.9510000000015,89.0,13.0,7.815970093361102e-14,True
41,27.97079999999852,91.0,11.0,3.197442310920451e-14,True
42,29.18289999999857,87.0,15.0,7.105427357601002e-15,True
43,33.62470000000073,93.0,9.0,0.0,True
44,33.05120000000272,91.0,11.0,0.0,True
45,24.8273999999995,91.0,11.0,0.0,True
46,23.872300000000735,93.0,9.0,0.0,True
47,32.041000000003095,90.0,12.0,0.0,True
48,36.27610000000203,90.0,12.0,0.0,True
49,34.13080000000335,91.0,11.0,0.0,True
50,34.2230999999984,93.0,9.0,0.0,True
51,35.47959999999861,89.0,13.0,0.0,True
52,35.764700000001426,91.0,11.0,0.0,True
53,40.196299999998075,91.0,11.0,0.0,True
54,37.06730000000036,90.0,12.0,0.0,True
55,37.43800000000164,89.0,13.0,0.0,True
56,38.42739999999978,88.0,14.0,0.0,True
57,42.97469999999848,88.0,14.0,0.0,True
58,40.9316000000004,93.0,9.0,0.0,True
59,29.945800000000133,92.0,10.0,0.0,True
60,27.399400000000185,91.0,11.0,0.0,True
61,31.254100000001728,93.0,9.0,0.0,True
62,30.766399999997418,91.0,11.0,0.0,True
63,28.790199999999544,92.0,10.0,0.0,True
64,42.46089999999825,92.0,10.0,0.0,True
65,55.5841000000008,88.0,14.0,0.0,True
66,74.26849999999874,90.0,12.0,0.0,True
67,56.05890000000002,92.0,10.0,0.0,True
68,53.271499999997474,93.0,9.0,0.0,True
69,48.254599999999925,93.0,9.0,0.0,True
70,47.40639999999985,93.0,9.0,0.0,True
71,48.19270000000131,90.0,12.0,0.0,True
72,52.38389999999882,88.0,14.0,0.0,True
73,49.71709999999874,93.0,9.0,0.0,True
74,50.69119999999927,93.0,9.0,0.0,True
75,50.82999999999771,93.0,9.0,0.0,True
76,54.3768,89.0,13.0,0.0,True
77,47.52249999999947,90.0,12.0,0.0,True
78,35.89820000000188,93.0,9.0,0.0,True
79,42.88689999999917,93.0,9.0,0.0,True
80,62.73519999999877,88.0,14.0,0.0,True
81,76.50900000000149,87.0,15.0,0.0,True
82,98.46100000000035,92.0,10.0,0.0,True
83,94.75189999999856,91.0,11.0,0.0,True
84,56.04729999999947,91.0,11.0,0.0,True
85,45.335500000000195,89.0,13.0,0.0,True
86,51.58839999999998,89.0,13.0,0.0,True
87,40.43280000000138,89.0,13.0,0.0,True
88,41.79579999999916,92.0,10.0,0.0,True
89,38.98059999999859,87.0,15.0,0.0,True
90,41.48009999999758,91.0,11.0,0.0,True
91,59.389700000000545,91.0,11.0,0.0,True
92,68.30390000000008,92.0,10.0,0.0,True
93,82.19079999999934,92.0,10.0,0.0,True
94,71.3203,85.0,17.0,0.0,True
95,63.63569999999896,90.0,12.0,0.0,True
96,68.64320000000035,89.0,13.0,0.0,True
97,94.51380000000142,91.0,11.0,0.0,True
98,107.2917000000011,92.0,10.0,0.0,True
99,72.5555,92.0,10.0,0.0,True
100,54.739100000002594,90.0,12.0,0.0,True
