iter,time,reward,steps,convergence,policy
1,1.3500000000021828,-313.0,415.0,79.77333333333333,False
2,1.8354999999985466,88.0,14.0,25.446755555555555,False
3,4.369199999999296,65.0,37.0,3.1500335342019703,False
4,5.484000000002709,88.0,14.0,0.8954462968888846,False
5,5.717199999999423,91.0,11.0,0.25182659189526,True
6,7.946499999995638,89.0,13.0,0.04924148387211447,True
7,9.308600000004219,92.0,10.0,0.008481616710472872,True
8,8.974999999999511,86.0,16.0,0.0016121867989509209,True
9,17.184300000003816,90.0,12.0,0.0002602288123561003,True
10,9.735700000000236,93.0,9.0,3.8085849427549334e-05,True
11,6.954000000000349,92.0,10.0,5.2191955830505066e-06,True
12,6.734700000002647,85.0,17.0,6.826150957817134e-07,True
13,9.41869999999767,87.0,15.0,8.62822926439577e-08,True
14,18.803800000000592,87.0,15.0,1.0631634017599367e-08,True
15,11.6175999999939,93.0,9.0,1.284966799630638e-09,True
16,8.667699999996614,92.0,10.0,1.5302026312724593e-10,True
17,13.484099999999444,88.0,14.0,1.801447879756779e-11,True
18,12.256499999999448,88.0,14.0,2.1018742302203464e-12,True
19,11.500399999995636,92.0,10.0,2.433608869978343e-13,True
20,14.179699999999684,92.0,10.0,2.8199664825478976e-14,True
21,15.328199999999015,88.0,14.0,3.1086244689504383e-15,True
22,16.20950000000221,86.0,16.0,2.220446049250313e-16,True
23,16.335800000000233,91.0,11.0,2.220446049250313e-16,True
24,17.338200000004633,89.0,13.0,0.0,True
25,18.045399999998324,92.0,10.0,0.0,True
26,24.739399999994305,89.0,13.0,0.0,True
27,18.62899999999712,92.0,10.0,0.0,True
28,19.3948000000006,88.0,14.0,0.0,True
29,20.322700000001248,93.0,9.0,0.0,True
30,20.887600000001783,92.0,10.0,0.0,True
31,21.551699999996288,91.0,11.0,0.0,True
32,22.319899999999393,89.0,13.0,0.0,True
33,30.124799999995844,93.0,9.0,0.0,True
34,23.39389999999497,91.0,11.0,0.0,True
35,24.12769999999398,85.0,17.0,0.0,True
36,24.64559999999949,93.0,9.0,0.0,True
37,21.10110000000276,91.0,11.0,0.0,True
38,25.8176999999975,91.0,11.0,0.0,True
39,26.965599999996925,87.0,15.0,0.0,True
40,27.49210000000346,93.0,9.0,0.0,True
41,28.143800000002273,92.0,10.0,0.0,True
42,26.49900000000116,87.0,15.0,0.0,True
43,20.327999999999236,91.0,11.0,0.0,True
44,19.468299999999772,92.0,10.0,0.0,True
45,23.06809999999615,85.0,17.0,0.0,True
46,20.909000000003175,93.0,9.0,0.0,True
47,20.7911999999979,93.0,9.0,0.0,True
48,21.731799999997747,90.0,12.0,0.0,True
49,23.281599999997127,88.0,14.0,0.0,True
50,24.746100000001547,89.0,13.0,0.0,True
51,27.095800000005,83.0,19.0,0.0,True
52,23.14590000000294,91.0,11.0,0.0,True
53,24.53019999999384,91.0,11.0,0.0,True
54,26.947100000001,90.0,12.0,0.0,True
55,24.152999999998315,87.0,15.0,0.0,True
56,26.08680000000163,86.0,16.0,0.0,True
57,25.49319999999966,93.0,9.0,0.0,True
58,29.15819999999769,91.0,11.0,0.0,True
59,30.15600000000518,90.0,12.0,0.0,True
60,27.397200000002897,86.0,16.0,0.0,True
61,26.86419999999856,90.0,12.0,0.0,True
62,30.105599999998844,90.0,12.0,0.0,True
63,28.78660000000366,93.0,9.0,0.0,True
64,29.54249999999803,90.0,12.0,0.0,True
65,28.61159999999785,89.0,13.0,0.0,True
66,32.22910000000212,90.0,12.0,0.0,True
67,32.98459999999892,91.0,11.0,0.0,True
68,32.36960000000266,92.0,10.0,0.0,True
69,37.407199999996976,92.0,10.0,0.0,True
70,31.49450000000087,89.0,13.0,0.0,True
71,31.506900000003668,87.0,15.0,0.0,True
72,33.24529999999726,93.0,9.0,0.0,True
73,44.99619999999993,88.0,14.0,0.0,True
74,47.05420000000515,88.0,14.0,0.0,True
75,37.5075000000038,92.0,10.0,0.0,True
76,51.20229999999992,89.0,13.0,0.0,True
77,52.6118000000011,87.0,15.0,0.0,True
78,46.97000000000173,90.0,12.0,0.0,True
79,37.079400000003204,90.0,12.0,0.0,True
80,36.20109999999954,87.0,15.0,0.0,True
81,36.462799999995354,93.0,9.0,0.0,True
82,37.84060000000267,93.0,9.0,0.0,True
83,52.085400000002835,88.0,14.0,0.0,True
84,56.302199999997526,90.0,12.0,0.0,True
85,61.77710000000047,91.0,11.0,0.0,True
86,58.77490000000307,90.0,12.0,0.0,True
87,58.83379999999505,92.0,10.0,0.0,True
88,63.991199999996695,90.0,12.0,0.0,True
89,59.55440000000323,93.0,9.0,0.0,True
90,56.47520000000128,89.0,13.0,0.0,True
91,75.43160000000171,88.0,14.0,0.0,True
92,62.45779999999712,90.0,12.0,0.0,True
93,56.76660000000311,91.0,11.0,0.0,True
94,82.33450000000175,92.0,10.0,0.0,True
95,84.96230000000082,92.0,10.0,0.0,True
96,64.66479999999564,90.0,12.0,0.0,True
97,61.87539999999814,90.0,12.0,0.0,True
98,58.866800000004105,92.0,10.0,0.0,True
99,67.04660000000473,89.0,13.0,0.0,True
100,71.67560000000606,91.0,11.0,0.0,True
