iter,time,reward,steps,convergence,,,reward,steps,convergence,,,reward,steps,convergence,,,reward,steps,convergence
53,38.7445,91,11,0,,76.2386,92,10,0,,42.2982,85,17,0,,53.0264,92,10,0
54,36.7432,90,12,0,,89.2034,92,10,0,,45.8609,89,13,0,,53.7837,92,10,0
55,38.3639,93,9,0,,67.4872,87,15,0,,46.8125,86,16,0,,58.6478,90,12,0
56,40.1095,91,11,0,,65.0381,92,10,0,,56.2162,91,11,0,,56.6275,93,9,0
57,40.3613,92,10,0,,65.9352,92,10,0,,52.9359,86,16,0,,57.365,90,12,0
58,44.2676,93,9,0,,49.8563,90,12,0,,49.5381,93,9,0,,62.099,91,11,0
59,43.4739,91,11,0,,57.1426,88,14,0,,63.847,93,9,0,,71.5014,92,10,0
60,68.8566,90,12,0,,54.3365,91,11,0,,59.8372,93,9,0,,57.2778,91,11,0
61,94.0627,92,10,0,,45.644,91,11,0,,61.2705,93,9,0,,67.0133,89,13,0
62,61.9387,93,9,0,,60.1632,92,10,0,,66.1145,87,15,0,,62.1087,91,11,0
63,54.3702,92,10,0,,59.4631,91,11,0,,63.1408,92,10,0,,63.2994,87,15,0
64,69.7934,92,10,0,,67.6012,89,13,0,,64.4033,92,10,0,,71.0028,82,20,0
65,72.2133,91,11,0,,63.1073,87,15,0,,67.1458,89,13,0,,65.0439,93,9,0
66,90.8269,92,10,0,,63.5496,88,14,0,,58.8051,92,10,0,,67.274,88,14,0
67,82.0611,91,11,0,,80.2712,91,11,0,,44.0001,91,11,0,,73.1915,89,13,0
68,78.4972,89,13,0,,68.2471,93,9,0,,67.925,92,10,0,,86.074,90,12,0
69,103.3616,93,9,0,,78.7815,93,9,0,,90.6103,92,10,0,,69.7261,90,12,0
70,84.8792,93,9,0,,91.0101,93,9,0,,105.5797,87,15,0,,73.5438,93,9,0
71,67.8025,87,15,0,,89.2434,88,14,0,,74.6328,90,12,0,,69.3854,91,11,0
72,85.6974,90,12,0,,75.0341,90,12,0,,96.6555,91,11,0,,74.2613,91,11,0
73,121.7289,91,11,0,,72.662,86,16,0,,80.3083,89,13,0,,62.8795,88,14,0
74,57.8093,92,10,0,,70.8223,93,9,0,,73.7409,90,12,0,,57.3716,93,9,0
75,64.2198,89,13,0,,57.1182,93,9,0,,52.1185,89,13,0,,62.1212,93,9,0
76,93.8186,93,9,0,,83.6432,89,13,0,,66.8598,93,9,0,,66.5046,93,9,0
77,117.0968,92,10,0,,91.7266,90,12,0,,78.7351,93,9,0,,64.2514,91,11,0
78,137.7923,89,13,0,,92.2294,86,16,0,,82.1692,90,12,0,,62.5999,81,21,0
79,126.5836,87,15,0,,104.3582,91,11,0,,76.7549,90,12,0,,80.5603,91,11,0
80,103.7912,89,13,0,,100.6795,88,14,0,,78.9514,91,11,0,,69.8846,87,15,0
81,120.979,91,11,0,,101.5017,89,13,0,,84.1856,85,17,0,,66.0765,92,10,0
82,84.2345,89,13,0,,107.9269,90,12,0,,81.7239,87,15,0,,60.4176,89,13,0
83,84.0199,91,11,0,,76.9168,93,9,0,,87.24,87,15,0,,57.2471,92,10,0
84,85.1085,91,11,0,,82.8297,91,11,0,,66.2579,89,13,0,,57.4734,91,11,0
85,93.048,88,14,0,,85.4409,89,13,0,,76.7291,91,11,0,,59.933,92,10,0
86,85.2733,93,9,0,,106.1747,92,10,0,,130.5177,86,16,0,,83.952,90,12,0
87,88.1486,93,9,0,,87.0672,93,9,0,,91.5111,92,10,0,,91.0707,91,11,0
88,88.7359,88,14,0,,92.361,91,11,0,,89.1071,85,17,0,,89.0567,93,9,0
89,62.7272,91,11,0,,89.3236,90,12,0,,93.097,91,11,0,,94.616,93,9,0
90,87.2893,93,9,0,,109.8634,90,12,0,,90.2398,91,11,0,,91.5673,91,11,0
91,100.6872,91,11,0,,92.3675,90,12,0,,73.9361,92,10,0,,90.9907,93,9,0
92,73.9682,90,12,0,,91.3566,90,12,0,,92.8021,93,9,0,,91.2745,89,13,0
93,94.2639,85,17,0,,102.9414,93,9,0,,68.3516,91,11,0,,89.6826,91,11,0
94,74.8494,91,11,0,,92.8605,87,15,0,,95.583,91,11,0,,95.4642,87,15,0
95,80.055,88,14,0,,96.9152,93,9,0,,96.6243,91,11,0,,100.5664,88,14,0
96,100.1363,90,12,0,,99.5917,92,10,0,,99.2538,93,9,0,,96.0768,93,9,0
97,114.9766,91,11,0,,98.3657,93,9,0,,70.8741,86,16,0,,97.6566,91,11,0
98,145.7711,93,9,0,,101.7078,90,12,0,,68.843,84,18,0,,97.786,93,9,0
99,128.8255,92,10,0,,103.9454,93,9,0,,93.6176,93,9,0,,102.5996,87,15,0
100,133.8618,92,10,0,,161.7827,89,13,0,,109.5459,90,12,0,,74.2017,92,10,0
,,,,,,101.3721,,,,,106.83,,,,,86.6415,,,
