iter,time,reward,steps,convergence
1,15.247400000134803,-299.0,300.0,16.847910000000002
2,24.623300000030213,-299.0,300.0,21.110470036517224
3,19.823300000098243,-299.0,300.0,28.398130676340394
4,9.670700000015131,-299.0,300.0,36.10877381173573
5,8.046000000149434,-299.0,300.0,40.30707966168502
6,6.300700000110737,-299.0,300.0,47.013146203795735
7,5.908399999952962,-299.0,300.0,55.013137203795736
8,7.027900000139198,-299.0,300.0,62.21058684711638
9,4.743299999972805,-299.0,300.0,66.03067947756986
10,6.182999999964522,-299.0,300.0,73.43971543154622
11,6.854499999917607,-299.0,300.0,72.57427702842764
12,2.655899999808753,-299.0,300.0,75.94071942431712
13,5.609600000070714,-299.0,300.0,71.98073426797697
14,6.353199999921344,-299.0,300.0,69.68165153460345
15,3.5410999998930492,-299.0,300.0,68.63403293853257
16,3.0879000000823,-299.0,300.0,67.7794907370739
17,4.228499999953783,-299.0,300.0,64.91021542393415
18,2.635699999927965,-299.0,300.0,64.39144127153929
19,4.708400000026813,-299.0,300.0,65.92548811821348
20,2.1905000000970176,-299.0,300.0,60.42752494495885
21,2.3347999999714375,-299.0,300.0,57.51769222144384
22,4.742300000089017,-299.0,300.0,55.454571280092466
23,3.1796000000667846,-299.0,300.0,57.92052839585123
24,2.3863999999775842,-299.0,300.0,58.58490481274335
25,3.5717999999178573,-299.0,300.0,62.75194263929582
26,3.200699999979406,-299.0,300.0,61.19702368069485
27,3.4682999998949526,-299.0,300.0,59.85727689075767
28,3.744399999959569,-299.0,300.0,58.70379505107356
29,1.5892999999778112,-299.0,300.0,58.384235585228495
30,2.583599999979924,-299.0,300.0,59.591875956630645
31,4.3837999999141175,-299.0,300.0,62.502869972224495
32,2.1110000000135187,-299.0,300.0,61.92613495034128
33,1.5000000000782165,-299.0,300.0,62.722425559296525
34,1.628900000014255,-193.0,295.0,61.22253093921447
35,1.0972999998557498,-299.0,300.0,57.26042514902487
36,1.542299999982788,-299.0,300.0,55.281985558442486
37,1.3447000001178822,-299.0,300.0,57.54323471926689
38,3.1426999998984684,-299.0,300.0,56.16244073047943
39,2.7279999999336724,-299.0,300.0,55.694714228679366
40,2.243000000134998,-299.0,300.0,56.575880688614646
41,0.8774000000357773,-186.0,288.0,53.25766703273772
42,1.3587999999344902,-299.0,300.0,53.96394015430387
43,1.5335999999024352,-299.0,300.0,50.88765187748008
44,1.427000000148837,-59.0,161.0,52.11508893620218
45,2.9162999999243766,-146.0,248.0,54.06931059365767
46,3.034900000102425,-299.0,300.0,57.75383768417324
47,0.9233999999196385,-299.0,300.0,55.603875344386246
48,1.3946999999916443,-299.0,300.0,53.806685654871636
49,1.1247999998431624,-299.0,300.0,55.193500252079865
50,1.1414000000513624,-48.0,150.0,54.85861205767594
51,1.118599999927028,-299.0,300.0,55.461868040489705
52,1.495400000067093,-96.0,198.0,53.319606587604106
53,1.248099999884289,-185.0,287.0,54.89020402703424
54,1.575799999955052,-138.0,240.0,50.90128249937872
55,0.9216999999352993,-114.0,216.0,49.4796464339357
56,1.4882000000397966,-299.0,300.0,49.207598247918824
57,0.9288999999625958,-299.0,300.0,48.48854417679793
58,1.6140999998697225,-299.0,300.0,49.106272604663744
59,1.9308999999338994,-299.0,300.0,47.067837012723395
60,1.3481999999385152,-299.0,300.0,46.83960460093777
61,1.5350999999554915,-299.0,300.0,45.20003059448385
62,1.285900000084439,-299.0,300.0,43.42900228909194
63,1.027799999974377,-299.0,300.0,40.90119104982169
64,1.3580000002093584,-109.0,211.0,40.178557348913145
65,1.3162999998712621,-299.0,300.0,37.632795048051875
66,3.455199999962133,-110.0,212.0,32.46376072252623
67,1.0958999998820218,-129.0,231.0,32.7436736255083
68,2.272700000048644,-299.0,300.0,32.80871076529647
69,1.9067999999151652,-299.0,300.0,32.38923588870977
70,1.3675999998667976,-100.0,202.0,32.07872800912336
71,1.8411000000924105,-299.0,300.0,33.99475315926084
72,1.2431000000105996,-299.0,300.0,34.28588977460599
73,1.5058999999837397,-299.0,300.0,35.94292589178384
74,1.9704999999703432,-299.0,300.0,35.20705434996142
75,1.3434999998480635,-299.0,300.0,37.6040412291476
76,2.053300000170566,-299.0,300.0,37.762261766895314
77,1.4294000000063534,-299.0,300.0,36.906269580740165
78,1.2864000000263331,-299.0,300.0,33.70811036034737
79,1.8466999999873224,-299.0,300.0,30.686663176238916
80,1.1345000000346772,-299.0,300.0,31.167043776983565
81,1.2847999998939486,-299.0,300.0,28.206973260732543
82,1.4900000001034641,-299.0,300.0,26.200760312669644
83,1.3355000000956352,-122.0,224.0,23.524383429695696
84,0.9634999998979765,-299.0,300.0,28.947795989379756
85,1.2615000000550936,-299.0,300.0,25.189504224860524
86,1.2752000000091357,-69.0,171.0,25.705357384712862
87,1.1656000001494249,-299.0,300.0,30.028962070836503
88,1.3367999999900348,-299.0,300.0,32.470958652049184
89,1.403400000071997,-299.0,300.0,33.34275515330238
90,1.0830999999598134,-81.0,183.0,36.25990301927631
91,1.011100000141596,-169.0,271.0,39.50340824315165
92,1.1865999999827181,-176.0,278.0,39.651371496082966
93,1.1306000001241046,-299.0,300.0,38.46313304042832
94,1.170300000012503,-299.0,300.0,38.038360106697006
95,1.2495000000853906,-299.0,300.0,38.034917617669564
96,1.4679000000796805,-189.0,291.0,42.192553258548735
97,1.2947000000167463,-131.0,233.0,35.21230196202136
98,1.162300000032701,-299.0,300.0,32.79258357457549
99,1.095500000019456,-299.0,300.0,31.326632846404987
100,1.356900000018868,-151.0,253.0,25.167118837767127
101,1.1153000000376778,-299.0,300.0,21.296979868025254
102,1.5517000001636916,-299.0,300.0,21.44106606212789
103,1.5233999999963999,-299.0,300.0,24.33096553412896
104,1.1468000000149914,-299.0,300.0,23.459654926296487
105,3.8696000001436914,-109.0,211.0,26.870089309478168
106,1.5060999999150226,-299.0,300.0,22.06397083531545
107,1.5531999999893742,-299.0,300.0,24.46777903115125
108,1.1321999998017418,-299.0,300.0,24.55304722298279
109,1.5229000000545057,-116.0,218.0,25.149565627736074
110,1.3179999998556013,-299.0,300.0,25.62628262610955
111,1.5131000000110362,-192.0,294.0,28.875313780193494
112,1.0168999999677908,-151.0,253.0,32.66522521812617
113,1.1190999998689222,-299.0,300.0,31.471469445684768
114,1.331200000095123,-113.0,215.0,27.4445599019537
115,1.0425999998915358,-192.0,294.0,24.178913944557717
116,1.051099999813232,-299.0,300.0,23.816987077378805
117,1.5812000001460547,-299.0,300.0,21.74461742668251
118,1.3934999999491993,-299.0,300.0,26.772760720957287
119,1.2828999999783264,-299.0,300.0,26.684948369680818
120,1.402200000029552,-299.0,300.0,32.11601511118524
121,1.3805999999476626,-299.0,300.0,29.555955179852212
122,1.7364000000270607,-299.0,300.0,30.541432136226337
123,1.5026999999463442,-299.0,300.0,30.04950004363086
124,1.8373000000337925,-299.0,300.0,29.927274753182036
125,1.4706999997997627,-299.0,300.0,30.2727934806369
126,1.4183999999204389,-299.0,300.0,32.531278735469854
127,1.2067000000115513,-299.0,300.0,36.17041947417785
128,1.2237000000823173,-299.0,300.0,31.404626014469454
129,1.0260000001380831,-137.0,239.0,35.13863144027016
130,1.6493999999056541,-299.0,300.0,33.67926312524641
131,1.4283999998951913,-299.0,300.0,32.96328835527756
