iter,time,reward,steps,convergence
1,19.007500000043365,-299.0,300.0,16.847910000000002
2,34.62760000002163,-299.0,300.0,24.839720000000003
3,10.381400000142094,-299.0,300.0,30.994838867451268
4,9.029299999838258,-299.0,300.0,36.836391683649765
5,7.450299999845811,-299.0,300.0,43.112429289574976
6,7.544699999925797,-299.0,300.0,50.10259883460108
7,16.471899999942252,-299.0,300.0,56.29412522619375
8,8.554900000035559,-299.0,300.0,63.62463593029592
9,8.038400000032198,-299.0,300.0,70.56893906154656
10,4.427300000088508,-299.0,300.0,76.60211418418172
11,7.03550000002906,-299.0,300.0,76.63488767792765
12,2.6942000001781707,-299.0,300.0,76.31062976228712
13,2.5172999999085732,-299.0,300.0,76.35238407727947
14,2.917200000183584,-299.0,300.0,74.98194737490716
15,1.9469999999728316,-299.0,300.0,74.26391994950944
16,3.2468000001699693,-299.0,300.0,73.22502983464221
17,1.7596999998659157,-299.0,300.0,71.43697368613297
18,4.3695999997908075,-299.0,300.0,70.00693900179894
19,7.203799999842886,-299.0,300.0,68.64995604720866
20,4.08900000002177,-299.0,300.0,68.01366021428628
21,2.168999999867083,-299.0,300.0,66.06576224500495
22,4.257399999914924,-299.0,300.0,63.66526536815585
23,2.586400000154754,-299.0,300.0,63.49020667180165
24,5.293100000017148,-299.0,300.0,62.235348811743805
25,3.1167000001914857,-299.0,300.0,61.92569243044072
26,2.346700000089186,-299.0,300.0,59.82960530764952
27,3.0369000000973756,-299.0,300.0,60.756106527550536
28,2.660200000036639,-299.0,300.0,60.78909383808624
29,3.9011999999729596,-166.0,268.0,60.478497888604785
30,4.038100000116174,-299.0,300.0,62.068006573626576
31,1.9233999998959916,-299.0,300.0,62.36865948466605
32,2.9468000000179018,-299.0,300.0,62.06388469193246
33,2.3469000000204687,-299.0,300.0,58.83246914592685
34,2.5570000000243454,-299.0,300.0,60.776729281718175
35,4.605899999887697,-299.0,300.0,59.193591218278016
36,2.546299999949042,-299.0,300.0,59.530070064137895
37,4.787200000009761,-299.0,300.0,56.71313060652791
38,2.4832000001424603,-299.0,300.0,56.10289112489221
39,1.7345999999633932,-119.0,221.0,55.23018938046912
40,2.6150999999572377,-299.0,300.0,52.4634607174837
41,2.0835999998780608,-299.0,300.0,48.31176796480669
42,1.9073000000844331,-299.0,300.0,47.657965976568235
43,1.77439999993112,-299.0,300.0,47.978217585457635
44,1.139599999987695,-299.0,300.0,45.169988250072635
45,1.5667000000121334,-299.0,300.0,44.54537969894542
46,1.7295000000103755,-299.0,300.0,43.468778046449074
47,1.5674999999646388,-299.0,300.0,41.910942150712664
48,2.5866000000860367,-299.0,300.0,41.311224732767656
49,4.1416000001390785,-70.0,172.0,38.64546500979045
50,1.6075000000910222,-299.0,300.0,35.76867880540148
51,1.9184000000223023,-299.0,300.0,37.47977100421695
52,1.6999999998006388,-299.0,300.0,37.294366912856205
53,1.5301000000818021,-299.0,300.0,34.435443134733575
54,2.4587000000337866,-299.0,300.0,34.6263297376517
55,1.5805000000455038,-299.0,300.0,32.16621532777033
56,1.319000000194137,-299.0,300.0,30.630131160502692
57,1.3738000000103057,-299.0,300.0,34.24184312902262
58,1.9877999998243467,-299.0,300.0,32.63163153727501
59,1.9525000000157888,-299.0,300.0,35.83447576985824
60,1.7986000000291824,-299.0,300.0,39.06844425669906
61,1.4431000001877692,-137.0,239.0,37.32007744261965
62,1.9895000000360596,-198.0,300.0,34.91353561903076
63,2.03390000001491,-145.0,247.0,36.746406165895095
64,2.1091000000978966,-299.0,300.0,38.813222194943734
65,4.712700000027326,-49.0,151.0,42.711361966407324
66,2.0231999999396066,-100.0,202.0,41.848911725504784
67,1.70420000017657,-299.0,300.0,39.323934304735374
68,1.737700000148834,-299.0,300.0,38.35866278289477
69,1.642100000026403,-299.0,300.0,36.229034704915776
70,1.9978999998784275,-299.0,300.0,36.34559503907289
71,1.6860999999153137,-299.0,300.0,35.29130783405421
72,1.82730000005904,-299.0,300.0,33.65341512443174
73,1.5887999998085434,-299.0,300.0,36.0118072876972
74,2.301399999851128,-299.0,300.0,31.507709431593838
75,1.7947000001186098,-299.0,300.0,27.24090361982948
76,1.7674999999144347,-299.0,300.0,29.344697848648487
77,2.0715000000564032,-299.0,300.0,31.684726104839548
78,2.251399999977366,-299.0,300.0,31.398430738210273
79,1.8161999998937972,-299.0,300.0,30.471451711382628
80,2.8669999999237916,-299.0,300.0,29.880380279343278
81,2.0020999997996114,-299.0,300.0,29.93952492930773
82,1.9703000000390603,-299.0,300.0,34.32728369260828
83,2.1148000000721368,-299.0,300.0,30.061023942567914
84,1.5891000000465283,-197.0,299.0,34.16265342579416
85,1.8224000000373053,-299.0,300.0,34.428513653073644
86,1.627500000040527,-178.0,280.0,31.372327710373725
87,1.4416999999866675,-299.0,300.0,26.86979974741292
88,2.109700000119119,-299.0,300.0,25.101577651591075
89,1.7899999998007843,-299.0,300.0,27.706270242314975
90,1.6697999999450985,-299.0,300.0,23.51491251198283
91,1.501199999893288,-299.0,300.0,27.338459646428287
92,2.3450000001048465,-107.0,209.0,23.366954443071748
93,1.444900000024063,-299.0,300.0,28.42416064061415
94,5.090899999913745,-299.0,300.0,26.116972897187594
95,1.7015000000810687,-132.0,234.0,25.627847834579576
96,2.4796000000151253,-299.0,300.0,25.779392933092716
97,1.6582000000653352,-299.0,300.0,27.479174645211504
98,1.3132999999925232,-299.0,300.0,30.775582289615425
99,1.6699000000244268,-299.0,300.0,26.302939365211692
100,2.5843999999324296,-299.0,300.0,26.02673597755515
101,1.9346999999925174,-299.0,300.0,22.04530891713852
102,2.3983000000953325,-299.0,300.0,21.487095650091295
103,2.0710999999664637,-171.0,273.0,16.943163204421218
104,1.7370000000482833,-299.0,300.0,14.710520515348794
105,2.0103000001654436,-299.0,300.0,14.76644026469624
106,2.8024000000641536,-299.0,300.0,14.984886861904638
107,2.0130000000335713,-299.0,300.0,13.115074015109021
108,2.135400000042864,-299.0,300.0,10.609836606345933
109,2.061299999922994,-299.0,300.0,10.218102902788768
110,1.599400000031892,-152.0,254.0,12.540429629660512
111,1.9017999998141022,-299.0,300.0,12.512513164446682
112,2.0060000001649314,-299.0,300.0,12.74861267584796
113,1.8636999998307147,-140.0,242.0,12.021354317260457
114,1.7238000000361353,-299.0,300.0,12.494419743420842
115,1.9010000000889704,-299.0,300.0,12.39511970824778
116,1.224600000114151,-299.0,300.0,12.332688019755732
117,1.2673999999606167,-299.0,300.0,16.116383323301687
118,1.753700000108438,-299.0,300.0,15.74126200668216
119,1.3158000001567416,-299.0,300.0,15.945829831351741
120,1.471999999921536,-177.0,279.0,13.517730899303368
121,1.9059999999626598,-299.0,300.0,13.4645462597373
122,1.4972999999827152,-135.0,237.0,13.125486975909254
