iter,time,reward,steps,convergence,,time,reward,steps,convergence
29,636.1701,-299,300,4.904648699,,241.4259,-299,300,6.029508482
30,604.2806,-299,300,4.661756072,,248.4484,-299,300,5.771829927
31,702.7291,-299,300,4.554005476,,254.173,-299,300,5.678801103
32,792.0001,-299,300,4.439436343,,265.1157,-299,300,5.570145394
33,714.0222,-299,300,4.324962992,,272.6986,-299,300,5.24880849
34,832.0704,-299,300,4.175365933,,276.8482,-299,300,5.125300146
35,801.493,-299,300,3.828455045,,297.6351,-299,300,5.016176854
36,920.1216,-299,300,3.359947023,,297.6378,-299,300,4.909014553
37,973.4665,-299,300,3.040048927,,306.4741,-299,300,4.653820435
38,979.4778,-299,300,2.842507462,,307.4424,-299,300,4.223661293
39,1306.493,-299,300,2.696661673,,322.5959,-299,300,3.695018339
40,1054.9123,-299,300,2.641470118,,361.6554,-299,300,3.570822119
41,1045.6459,-299,300,2.554724184,,341.6388,-299,300,3.4040188
42,1122.0506,-3,105,2.490881135,,345.1338,-299,300,3.171012756
43,1113.0435,0,102,2.394484235,,352.7425,-299,300,3.094021931
44,1131.6895,3,99,2.306972377,,358.4418,-299,300,3.040908865
45,1153.1195,10,92,2.194844663,,372.3568,-299,300,2.920030108
46,1236.4141,-1,103,2.114261452,,374.2524,-12,114,2.800544308
47,1243.6522,3,99,2.059370978,,386.142,2,100,3.197152229
48,1257.1117,-1,103,1.9616541,,417.2686,0,102,2.593956775
49,1274.4375,1,101,1.89732413,,434.0671,-3,105,3.13778076
50,1311.5829,9,93,1.848804796,,409.7481,4,98,3.24580891
51,1326.1724,-3,105,1.749318286,,414.1035,2,100,3.455522041
52,1368.4437,-7,109,1.722687042,,509.5107,8,94,2.869677198
53,1374.3481,7,95,1.685316896,,427.317,0,102,3.634092657
54,1472.435,16,86,1.637376965,,436.2889,-1,103,2.47698024
55,1499.7852,0,102,1.598669911,,461.5581,-10,112,3.051667725
56,1479.6389,8,94,1.574397038,,451.0591,0,102,2.094442024
57,1535.4284,3,99,1.541245366,,455.9297,-4,106,2.260388576
58,1530.9687,5,97,1.499448251,,471.7697,5,97,2.121703953
59,1538.8881,3,99,1.464401295,,492.9123,10,92,1.958546359
60,1557.4754,17,85,1.443051048,,498.9496,-12,114,1.927008508
61,1583.8837,14,88,1.362376843,,524.3661,0,102,1.885379117
62,1621.7828,11,91,1.322382225,,520.4323,-6,108,1.833685825
63,1623.7989,10,92,1.240748215,,489.7031,2,100,1.80369883
64,1650.5535,0,102,1.171034579,,499.1224,9,93,1.695934255
65,1697.4163,11,91,1.072946415,,582.1642,-3,105,1.609616292
66,1725.5526,6,96,0.973263555,,513.7073,3,99,1.490824826
67,1724.4638,6,96,0.907615227,,510.1973,9,93,1.372255819
68,1834.1422,11,91,0.799467674,,600.3371,8,94,1.288584775
69,1781.8558,-11,113,0.707180762,,905.0546,13,89,1.149200066
70,1893.8494,9,93,0.646936326,,622.2577,15,87,1.034269176
71,1887.5239,6,96,0.565563055,,582.8625,-8,110,0.960249656
72,1983.1238,3,99,0.468202304,,555.1981,-4,106,0.842669986
73,1933.8673,0,102,0.396623199,,529.6147,0,102,0.736639446
74,1945.014,7,95,0.36332773,,575.097,-4,106,0.659125432
75,1968.5299,-4,106,0.306086679,,601.3378,1,101,0.58978877
76,2017.0869,10,92,0.244501439,,588.6969,3,99,0.492051434
77,2278.3628,13,89,0.190569834,,714.0134,16,86,0.416880615
78,2044.9947,-10,112,0.146203808,,619.6119,5,97,0.3793047
79,2073.0623,9,93,0.11078509,,947.219,6,96,0.320239159
80,2108.8208,5,97,0.083046853,,823.6896,8,94,0.253314104
81,2208.9951,7,95,0.063420171,,649.6795,-5,107,0.193570003
82,2170.2309,12,90,0.052951497,,646.4486,6,96,0.14421953
83,2219.0213,15,87,0.044072667,,672.616,-3,105,0.105221421
84,2206.1137,20,82,0.038399648,,798.4906,6,96,0.0760594
85,2191.798,4,98,0.032598713,,678.1158,-8,110,0.061788539
86,2222.801,-9,111,0.024870731,,925.1218,4,98,0.050712514
87,2288.018,0,102,0.018281697,,719.4899,-3,105,0.042713635
88,2253.6142,8,94,0.013197572,,691.1947,14,88,0.036579481
89,2337.3522,10,92,0.009419395,,703.4697,18,84,0.027120994
90,2331.3171,-14,116,0.006664738,,942.3916,-1,103,0.019155936
91,2354.3251,4,98,0.004680584,,767.6006,2,100,0.013231454
92,2396.1897,-3,105,0.003264406,,745.2573,8,94,0.009024672
93,2441.7702,-3,105,0.002261347,,890.0485,10,92,0.00610463
94,2504.4914,12,90,0.001555839,,882.7824,-3,105,0.004104246
95,2523.4336,-4,106,0.001062946,,742.1602,7,95,0.002745537
96,2537.8426,-5,107,0.000720922,,813.1941,5,97,0.00182826
97,2885.3081,12,90,0.000485247,,792.9708,10,92,0.001211944
98,2556.9197,9,93,0.000324044,,787.8489,6,96,0.000799577
99,2523.4083,7,95,0.000214632,,798.1499,10,92,0.000524806
100,2717.7325,4,98,0.000140975,,926.7946,5,97,0.000342525
101,2627.6844,3,99,9.18E-05,,960.8993,9,93,0.000222193
102,2671.0795,3,99,5.93E-05,,797.064,5,97,0.000143191
103,2806.9196,4,98,3.79E-05,,998.718,-3,105,9.16E-05
104,2767.5357,5,97,2.41E-05,,843.1872,5,97,5.82E-05
105,2780.8428,5,97,1.51E-05,,1063.4846,3,99,3.67E-05
106,2772.6637,-1,103,9.45E-06,,865.9616,-6,108,2.30E-05
107,2869.6822,4,98,5.84E-06,,845.221,-7,109,1.43E-05
108,2771.8258,-8,110,3.59E-06,,957.177,11,91,8.79E-06
109,2828.1683,9,93,2.18E-06,,881.0031,2,100,5.38E-06
110,2812.2657,9,93,1.32E-06,,892.01,3,99,3.26E-06
111,2854.4836,0,102,7.91E-07,,974.6632,9,93,1.97E-06
112,2911.9958,12,90,4.71E-07,,856.2102,14,88,1.18E-06
113,2921.5306,-4,106,2.78E-07,,828.5096,-2,104,6.99E-07
114,2977.6277,-13,115,1.63E-07,,845.3301,5,97,4.12E-07
115,2993.37,12,90,9.53E-08,,854.0866,-8,110,2.42E-07
116,2979.2972,9,93,5.53E-08,,953.6199,6,96,1.41E-07
117,2995.3442,2,100,3.18E-08,,1029.1137,7,95,8.14E-08
118,3037.5081,4,98,1.82E-08,,1344.29,14,88,4.68E-08
119,3084.2437,15,87,1.04E-08,,1393.4611,8,94,2.68E-08
120,3114.8125,-19,121,5.88E-09,,1065.5501,-2,104,1.52E-08
121,3100.6036,-7,109,3.31E-09,,904.2592,4,98,8.61E-09
122,3149.421,-6,108,1.86E-09,,942.678,13,89,4.85E-09
123,3247.5831,6,96,1.03E-09,,954.7901,4,98,2.71E-09
124,3167.9218,3,99,5.74E-10,,1045.4586,-7,109,1.51E-09
125,3226.4457,4,98,3.17E-10,,1223.9732,3,99,8.38E-10
126,3245.6198,10,92,1.75E-10,,1027.6397,4,98,4.62E-10
127,3273.2616,7,95,9.56E-11,,979.8418,2,100,2.54E-10
128,3286.3048,6,96,5.21E-11,,975.3231,13,89,1.39E-10
129,3362.3711,5,97,2.83E-11,,987.5986,12,90,7.58E-11
130,3336.7911,12,90,1.53E-11,,984.1307,4,98,4.12E-11
131,3405.3823,8,94,8.26E-12,,992.1973,13,89,2.22E-11
132,3417.2816,5,97,4.43E-12,,998.5659,11,91,1.20E-11
133,3437.9653,11,91,2.37E-12,,1243.1984,12,90,6.43E-12
134,3483.109,-8,110,1.27E-12,,1190.4314,6,96,3.44E-12
135,3529.3295,12,90,6.75E-13,,996.8463,4,98,1.84E-12
136,3529.9759,1,101,3.55E-13,,992.7521,-2,104,9.66E-13
137,3520.9194,9,93,1.92E-13,,1006.8971,9,93,5.26E-13
138,3688.1147,13,89,8.53E-14,,1013.9334,7,95,2.77E-13
139,3798.5544,-10,112,5.68E-14,,1026.6554,-1,103,1.35E-13
140,3709.0154,-22,124,2.13E-14,,1031.7512,5,97,6.39E-14
141,3674.7758,-5,107,1.42E-14,,1060.9367,3,99,3.55E-14
142,3893.4519,3,99,7.11E-15,,1113.3637,-12,114,2.13E-14
143,2828.813,10,92,0,,1208.3443,14,88,7.11E-15
144,2029.7664,-1,103,0,,1097.0532,5,97,7.11E-15
145,1652.3399,1,101,0,,1090.3044,13,89,0
146,1540.1647,-17,119,0,,1082.2497,10,92,0
147,1567.738,3,99,0,,1098.7963,0,102,0
148,1617.7876,2,100,0,,1098.1631,-14,116,0
149,1735.1259,-5,107,0,,1191.9758,-8,110,0
150,1620.5801,8,94,0,,1205.0207,5,97,0
151,1774.82,8,94,0,,1107.6528,0,102,0
152,1855.287,-10,112,0,,1105.104,1,101,0
153,1681.8263,2,100,0,,1114.0798,11,91,0
154,1682.0502,4,98,0,,1172.7694,15,87,0
155,1726.3936,-14,116,0,,1147.5576,9,93,0
156,1746.1847,-6,108,0,,1140.4991,6,96,0
157,1671.0557,7,95,0,,1141.3553,2,100,0
158,1723.5604,-6,108,0,,1156.8907,-12,114,0
159,1740.1543,6,96,0,,1187.4308,-5,107,0
160,1725.0513,-1,103,0,,1167.1426,-4,106,0
161,1821.6424,9,93,0,,1184.0797,-7,109,0
162,1761.3642,-12,114,0,,1185.9888,6,96,0
163,1786.7439,11,91,0,,1219.589,-5,107,0
164,1829.753,-12,114,0,,1190.5383,13,89,0
165,1850.6714,8,94,0,,1202.8225,1,101,0
166,2024.8466,-2,104,0,,1214.1719,-14,116,0
167,2014.963,-5,107,0,,1374.8687,8,94,0
168,1919.1739,14,88,0,,1229.3205,11,91,0
169,1882.7575,5,97,0,,1240.0861,0,102,0
170,1885.6521,2,100,0,,1244.8086,-4,106,0
171,1950.3048,-12,114,0,,1260.0614,-2,104,0
172,1905.9161,2,100,0,,1268.4482,6,96,0
173,1884.0597,6,96,0,,1267.6159,6,96,0
174,1908.8057,0,102,0,,1357.7274,-1,103,0
175,1942.2111,-1,103,0,,1273.5162,3,99,0
176,1997.3193,2,100,0,,1283.6171,-9,111,0
177,1999.3387,2,100,0,,1291.6326,8,94,0
178,1986.5728,1,101,0,,1298.5334,12,90,0
179,1942.7014,21,81,0,,1304.1297,-2,104,0
180,1958.8049,-5,107,0,,1310.5689,-20,122,0
